session_id,model_name,language,item_id,trait,keying,raw_output,parsed_score
1,qwen2.5:3b,english,1,Extraversion,+,3,3
1,qwen2.5:3b,english,2,Agreeableness,-,1,1
1,qwen2.5:3b,english,3,Conscientiousness,+,3,3
1,qwen2.5:3b,english,4,Neuroticism,+,3,3
1,qwen2.5:3b,english,5,Openness,+,5,5
1,qwen2.5:3b,english,6,Extraversion,-,1,1
1,qwen2.5:3b,english,7,Agreeableness,+,5,5
1,qwen2.5:3b,english,8,Conscientiousness,-,1,1
1,qwen2.5:3b,english,9,Neuroticism,-,3,3
1,qwen2.5:3b,english,10,Openness,-,3,3
1,qwen2.5:3b,english,11,Extraversion,+,5,5
1,qwen2.5:3b,english,12,Agreeableness,-,1,1
1,qwen2.5:3b,english,13,Conscientiousness,+,4,4
1,qwen2.5:3b,english,14,Neuroticism,+,2,2
1,qwen2.5:3b,english,15,Openness,+,5,5
1,qwen2.5:3b,english,16,Extraversion,-,3,3
1,qwen2.5:3b,english,17,Agreeableness,+,5,5
1,qwen2.5:3b,english,18,Conscientiousness,-,1,1
1,qwen2.5:3b,english,19,Neuroticism,-,5,5
1,qwen2.5:3b,english,20,Openness,-,5,5
1,qwen2.5:3b,english,21,Extraversion,+,3,3
1,qwen2.5:3b,english,22,Agreeableness,-,1,1
1,qwen2.5:3b,english,23,Conscientiousness,+,3,3
1,qwen2.5:3b,english,24,Neuroticism,+,2,2
1,qwen2.5:3b,english,25,Openness,+,5,5
1,qwen2.5:3b,english,26,Extraversion,-,1,1
1,qwen2.5:3b,english,27,Agreeableness,+,5,5
1,qwen2.5:3b,english,28,Conscientiousness,-,3,3
1,qwen2.5:3b,english,29,Neuroticism,+,2,2
1,qwen2.5:3b,english,30,Openness,-,1,1
1,qwen2.5:3b,english,31,Extraversion,+,3,3
1,qwen2.5:3b,english,32,Agreeableness,-,1,1
1,qwen2.5:3b,english,33,Conscientiousness,+,4,4
1,qwen2.5:3b,english,34,Neuroticism,+,3,3
1,qwen2.5:3b,english,35,Openness,+,5,5
1,qwen2.5:3b,english,36,Extraversion,-,1,1
1,qwen2.5:3b,english,37,Agreeableness,+,5,5
1,qwen2.5:3b,english,38,Conscientiousness,-,1,1
1,qwen2.5:3b,english,39,Neuroticism,+,3,3
1,qwen2.5:3b,english,40,Openness,+,1,1
1,qwen2.5:3b,english,41,Extraversion,+,5,5
1,qwen2.5:3b,english,42,Agreeableness,+,3,3
1,qwen2.5:3b,english,43,Conscientiousness,+,3,3
1,qwen2.5:3b,english,44,Neuroticism,+,2,2
1,qwen2.5:3b,english,45,Openness,+,4,4
1,qwen2.5:3b,english,46,Extraversion,-,4,4
1,qwen2.5:3b,english,47,Agreeableness,+,5,5
1,qwen2.5:3b,english,48,Conscientiousness,+,4,4
1,qwen2.5:3b,english,49,Neuroticism,+,3,3
1,qwen2.5:3b,english,50,Openness,+,5,5
2,qwen2.5:3b,english,1,Extraversion,+,3,3
2,qwen2.5:3b,english,2,Agreeableness,-,1,1
2,qwen2.5:3b,english,3,Conscientiousness,+,3,3
2,qwen2.5:3b,english,4,Neuroticism,+,2,2
2,qwen2.5:3b,english,5,Openness,+,5,5
2,qwen2.5:3b,english,6,Extraversion,-,1,1
2,qwen2.5:3b,english,7,Agreeableness,+,5,5
2,qwen2.5:3b,english,8,Conscientiousness,-,1,1
2,qwen2.5:3b,english,9,Neuroticism,-,3,3
2,qwen2.5:3b,english,10,Openness,-,3,3
2,qwen2.5:3b,english,11,Extraversion,+,5,5
2,qwen2.5:3b,english,12,Agreeableness,-,1,1
2,qwen2.5:3b,english,13,Conscientiousness,+,4,4
2,qwen2.5:3b,english,14,Neuroticism,+,2,2
2,qwen2.5:3b,english,15,Openness,+,5,5
2,qwen2.5:3b,english,16,Extraversion,-,3,3
2,qwen2.5:3b,english,17,Agreeableness,+,5,5
2,qwen2.5:3b,english,18,Conscientiousness,-,1,1
2,qwen2.5:3b,english,19,Neuroticism,-,5,5
2,qwen2.5:3b,english,20,Openness,-,5,5
2,qwen2.5:3b,english,21,Extraversion,+,3,3
2,qwen2.5:3b,english,22,Agreeableness,-,1,1
2,qwen2.5:3b,english,23,Conscientiousness,+,3,3
2,qwen2.5:3b,english,24,Neuroticism,+,3,3
2,qwen2.5:3b,english,25,Openness,+,5,5
2,qwen2.5:3b,english,26,Extraversion,-,1,1
2,qwen2.5:3b,english,27,Agreeableness,+,5,5
2,qwen2.5:3b,english,28,Conscientiousness,-,1,1
2,qwen2.5:3b,english,29,Neuroticism,+,2,2
2,qwen2.5:3b,english,30,Openness,-,1,1
2,qwen2.5:3b,english,31,Extraversion,+,3,3
2,qwen2.5:3b,english,32,Agreeableness,-,1,1
2,qwen2.5:3b,english,33,Conscientiousness,+,5,5
2,qwen2.5:3b,english,34,Neuroticism,+,4,4
2,qwen2.5:3b,english,35,Openness,+,5,5
2,qwen2.5:3b,english,36,Extraversion,-,1,1
2,qwen2.5:3b,english,37,Agreeableness,+,5,5
2,qwen2.5:3b,english,38,Conscientiousness,-,1,1
2,qwen2.5:3b,english,39,Neuroticism,+,3,3
2,qwen2.5:3b,english,40,Openness,+,1,1
2,qwen2.5:3b,english,41,Extraversion,+,5,5
2,qwen2.5:3b,english,42,Agreeableness,+,3,3
2,qwen2.5:3b,english,43,Conscientiousness,+,3,3
2,qwen2.5:3b,english,44,Neuroticism,+,3,3
2,qwen2.5:3b,english,45,Openness,+,3,3
2,qwen2.5:3b,english,46,Extraversion,-,3,3
