model_name,language,session_id,trait,trait_mean
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,1,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,1,Conscientiousness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,1,Extraversion,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,1,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,1,Openness,3.3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,2,Agreeableness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,2,Conscientiousness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,2,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,2,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,2,Openness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,3,Agreeableness,2.8
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,3,Conscientiousness,3.3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,3,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,3,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,3,Openness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,4,Agreeableness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,4,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,4,Extraversion,2.7
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,4,Neuroticism,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,4,Openness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,5,Agreeableness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,5,Conscientiousness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,5,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,5,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,5,Openness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,6,Agreeableness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,6,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,6,Extraversion,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,6,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,6,Openness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,7,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,7,Conscientiousness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,7,Extraversion,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,7,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,7,Openness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,8,Agreeableness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,8,Conscientiousness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,8,Extraversion,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,8,Neuroticism,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,8,Openness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,9,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,9,Conscientiousness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,9,Extraversion,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,9,Neuroticism,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,9,Openness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,10,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,10,Conscientiousness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,10,Extraversion,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,10,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,10,Openness,3.4
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,11,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,11,Conscientiousness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,11,Extraversion,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,11,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,11,Openness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,12,Agreeableness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,12,Conscientiousness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,12,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,12,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,12,Openness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,13,Agreeableness,2.8
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,13,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,13,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,13,Neuroticism,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,13,Openness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,14,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,14,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,14,Extraversion,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,14,Neuroticism,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,14,Openness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,15,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,15,Conscientiousness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,15,Extraversion,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,15,Neuroticism,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,15,Openness,3.6
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,16,Agreeableness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,16,Conscientiousness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,16,Extraversion,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,16,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,16,Openness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,17,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,17,Conscientiousness,3.4
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,17,Extraversion,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,17,Neuroticism,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,17,Openness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,18,Agreeableness,2.8
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,18,Conscientiousness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,18,Extraversion,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,18,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,18,Openness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,19,Agreeableness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,19,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,19,Extraversion,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,19,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,19,Openness,3.4
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,20,Agreeableness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,20,Conscientiousness,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,20,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,20,Neuroticism,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,20,Openness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,1,Agreeableness,3.3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,1,Conscientiousness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,1,Extraversion,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,1,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,1,Openness,3.3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,2,Agreeableness,3.4
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,2,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,2,Extraversion,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,2,Neuroticism,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,2,Openness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,3,Agreeableness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,3,Conscientiousness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,3,Extraversion,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,3,Neuroticism,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,3,Openness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,4,Agreeableness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,4,Conscientiousness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,4,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,4,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,4,Openness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,5,Agreeableness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,5,Conscientiousness,3.4
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,5,Extraversion,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,5,Neuroticism,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,5,Openness,3.3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,6,Agreeableness,3.4
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,6,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,6,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,6,Neuroticism,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,6,Openness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,7,Agreeableness,3.6
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,7,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,7,Extraversion,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,7,Neuroticism,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,7,Openness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,8,Agreeableness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,8,Conscientiousness,3
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,8,Extraversion,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,8,Neuroticism,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,8,Openness,3.5
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,9,Agreeableness,3.2
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,9,Conscientiousness,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,9,Extraversion,3.1
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,9,Neuroticism,2.9
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,9,Openness,3.3
