model_name,language,trait,mean,stdev,n_sessions
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,Agreeableness,2.945,0.0945,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,Conscientiousness,3.1,0.1414,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,Extraversion,3.03,0.1218,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,Neuroticism,3.03,0.0801,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,burmese,Openness,3.21,0.1804,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,Agreeableness,3.375,0.1618,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,Conscientiousness,3.18,0.1824,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,Extraversion,3.105,0.1146,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,Neuroticism,2.965,0.1226,20
aisingapore/Llama-SEA-LION-v3.5-8B-R,english,Openness,3.265,0.1461,20
llama3.2:3b,english,Agreeableness,3.235,0.1785,20
llama3.2:3b,english,Conscientiousness,3.015,0.1182,20
llama3.2:3b,english,Extraversion,2.995,0.1191,20
llama3.2:3b,english,Neuroticism,2.94,0.1429,20
llama3.2:3b,english,Openness,3.12,0.1152,20
qwen2.5:3b,burmese,Agreeableness,2.0769,1.7541,13
qwen2.5:3b,burmese,Conscientiousness,3.8333,1.8007,12
qwen2.5:3b,burmese,Extraversion,3.6,1.8974,10
qwen2.5:3b,burmese,Neuroticism,2.7949,1.9126,13
qwen2.5:3b,burmese,Openness,1.7879,1.2933,11
qwen2.5:3b,english,Agreeableness,4.615,0.1927,20
qwen2.5:3b,english,Conscientiousness,4.045,0.1146,20
qwen2.5:3b,english,Extraversion,4.065,0.1694,20
qwen2.5:3b,english,Neuroticism,2.58,0.0768,20
qwen2.5:3b,english,Openness,3.84,0.0754,20
